Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Name
U8,ESP32-C6-WROOM-1-N8,WIRELM-SMD_ESP32-C6-WROOM-1,-4.891mm,42.55mm,-4.891mm,42.55mm,-13.641mm,50.805mm,37,T,0,Yes,2.4GHz,2.4GHz
U9,FM24W256-GTR,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,17.283mm,15.008mm,17.283mm,15.008mm,14.683mm,16.913mm,8,T,270,Yes,FM24W256-GTR,FM24W256-GTR
U10,W25Q128JVSIQ,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,33.144mm,8.422mm,33.144mm,8.422mm,35.049mm,11.952mm,8,T,180,Yes,W25Q128JVSIQ,W25Q128JVSIQ
X1,X322512MSB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,22.001mm,-8.726mm,22.001mm,-8.726mm,21.151mm,-7.626mm,4,T,270,Yes,12MHz,12MHz
C38,CL21B104KBCNNNC,C0805,-46.995mm,-8.617mm,-46.995mm,-8.617mm,-45.995mm,-8.617mm,2,T,180,Yes,100nF,100nF
C39,CL21B104KBCNNNC,C0805,-33.77mm,-14.5mm,-33.77mm,-14.5mm,-33.77mm,-15.5mm,2,T,90,Yes,100nF,100nF
C40,CL21B104KBCNNNC,C0805,-33.997mm,-28mm,-33.997mm,-28mm,-33.997mm,-27mm,2,T,270,Yes,100nF,100nF
C43,CL21B104KBCNNNC,C0805,-34.833mm,0mm,-34.833mm,0mm,-34.833mm,-1mm,2,T,90,Yes,100nF,100nF
CN12,KF2EDGR-3.5-2P,CONN-TH_P3.50_KF2EDGR-3.5-2P,-40.974mm,-14.5mm,-40.974mm,-14.5mm,-40.974mm,-12.75mm,2,T,270,No,KF2EDGR-3.5-2P,KF2EDGR-3.5-2P
D9,PESD3V3L1BA_C54334012,SOD-323_L1.7-W1.3-LS2.5-BI,34.381mm,-49.681mm,34.381mm,-49.681mm,33.176mm,-49.681mm,2,T,0,Yes,PESD3V3L1BA,PESD3V3L1BA
D11,BAT54C_C51042522,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,-37.641mm,0mm,-37.641mm,0mm,-36.691mm,1mm,3,T,90,Yes,BAT54C,BAT54C
R42,0805W8F1003T5E,R0805,-42.861mm,-7.5mm,-42.861mm,-7.5mm,-41.861mm,-7.5mm,2,T,180,Yes,100kΩ,100kΩ
R43,0805W8F1002T5E_C38522,R0805,-46.995mm,-6.396mm,-46.995mm,-6.396mm,-45.995mm,-6.396mm,2,T,180,Yes,10kΩ,10kΩ
R44,0805W8F1003T5E,R0805,-38.227mm,-14.5mm,-38.227mm,-14.5mm,-38.227mm,-13.5mm,2,T,270,Yes,100kΩ,100kΩ
R45,0805W8F1002T5E_C38522,R0805,-35.992mm,-14.5mm,-35.992mm,-14.5mm,-35.992mm,-15.5mm,2,T,90,Yes,10kΩ,10kΩ
X2,SC32S-7PF20PPM,CRYSTAL-SMD_L3.2-W1.5-1,12.911mm,-8.498mm,12.911mm,-8.498mm,12.911mm,-7.223mm,2,T,270,Yes,32.768kHz,32.768kHz
JP1,PZ254V-11-02P,HDR-TH_2P-P2.54-V-M,-20.086mm,-43.605mm,-20.086mm,-43.605mm,-18.816mm,-43.605mm,2,T,180,No,PZ254V-11-02P,PZ254V-11-02P
JP2,PZ254V-11-02P,HDR-TH_2P-P2.54-V-M,-7.093mm,-43.605mm,-7.093mm,-43.605mm,-5.823mm,-43.605mm,2,T,180,No,PZ254V-11-02P,PZ254V-11-02P
JP3,PZ254V-11-02P,HDR-TH_2P-P2.54-V-M,5.885mm,-43.605mm,5.885mm,-43.605mm,7.155mm,-43.605mm,2,T,180,No,PZ254V-11-02P,PZ254V-11-02P
JP4,PZ254V-11-02P,HDR-TH_2P-P2.54-V-M,21.889mm,-46.225mm,21.889mm,-46.225mm,23.159mm,-46.225mm,2,T,180,No,PZ254V-11-02P,PZ254V-11-02P
LED6,KT-0805G,LED0805-R-RD,20.884mm,-25.014mm,20.884mm,-25.014mm,19.834mm,-25.014mm,2,T,180,Yes,KT-0805G,KT-0805G
R7,0805W8F1200T5E,R0805,-24.664mm,-43.605mm,-24.664mm,-43.605mm,-23.664mm,-43.605mm,2,T,180,Yes,120Ω,120Ω
R9,0805W8F1200T5E,R0805,-11.671mm,-43.605mm,-11.671mm,-43.605mm,-10.671mm,-43.605mm,2,T,180,Yes,120Ω,120Ω
R11,0805W8F1200T5E,R0805,1.307mm,-43.605mm,1.307mm,-43.605mm,2.307mm,-43.605mm,2,T,180,Yes,120Ω,120Ω
C9,CL21B103KBANNNC,C0805,36.355mm,32.374mm,36.355mm,32.374mm,37.355mm,32.374mm,2,T,180,Yes,10nF,10nF
C26,CL21A105KAFNNNE,C0805,-17.105mm,44.08mm,-17.105mm,44.08mm,-16.105mm,44.08mm,2,T,180,Yes,1uF,1uF
C37,CL21B103KBANNNC,C0805,-34.403mm,22.2mm,-34.403mm,22.2mm,-34.403mm,21.2mm,2,T,90,Yes,10nF,10nF
C41,CL21C080DBANNNC,C0805,10.756mm,-8.433mm,10.756mm,-8.433mm,10.756mm,-7.433mm,2,T,270,Yes,8pF,8pF
C42,CL21C080DBANNNC,C0805,15.08mm,-8.433mm,15.08mm,-8.433mm,15.08mm,-7.433mm,2,T,270,Yes,8pF,8pF
C44,CL21A105KAFNNNE,C0805,17.088mm,-8.433mm,17.088mm,-8.433mm,17.088mm,-7.433mm,2,T,270,Yes,1uF,1uF
C45,CL21C101JBANNNC,C0805,38.35mm,30.152mm,38.35mm,30.152mm,39.35mm,30.152mm,2,T,180,Yes,100pF,100pF
C46,CL21C101JBANNNC,C0805,-37.568mm,23.318mm,-37.568mm,23.318mm,-38.568mm,23.318mm,2,T,0,Yes,100pF,100pF
D4,SM712-02HTG_C172881,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,-22.739mm,-49.193mm,-22.739mm,-49.193mm,-23.689mm,-50.343mm,3,T,270,Yes,SM712-02HTG,SM712-02HTG
D5,SM712-02HTG_C172881,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,-9.746mm,-49.193mm,-9.746mm,-49.193mm,-10.696mm,-50.343mm,3,T,270,Yes,SM712-02HTG,SM712-02HTG
D6,SM712-02HTG_C172881,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,3.232mm,-49.193mm,3.232mm,-49.193mm,2.282mm,-50.343mm,3,T,270,Yes,SM712-02HTG,SM712-02HTG
R4,0805W8F1002T5E_C38522,R0805,40.489mm,32.374mm,40.489mm,32.374mm,41.489mm,32.374mm,2,T,180,Yes,10kΩ,10kΩ
R38,0805W8F1002T5E_C38522,R0805,-37.568mm,21.096mm,-37.568mm,21.096mm,-38.568mm,21.096mm,2,T,0,Yes,10kΩ,10kΩ
R55,0805W8F1002T5E_C38522,R0805,-17.105mm,46.302mm,-17.105mm,46.302mm,-18.105mm,46.302mm,2,T,0,Yes,10kΩ,10kΩ
R5,0805W8F3303T5E,R0805,43.188mm,22.181mm,43.188mm,22.181mm,42.188mm,22.181mm,2,T,0,Yes,330kΩ,330kΩ
R6,0805W8F5112T5E,R0805,47.178mm,22.181mm,47.178mm,22.181mm,46.178mm,22.181mm,2,T,0,Yes,51.1kΩ,51.1kΩ
R39,0805W8F3303T5E,R0805,-43.19mm,26.303mm,-43.19mm,26.303mm,-42.19mm,26.303mm,2,T,180,Yes,330kΩ,330kΩ
R40,0805W8F5112T5E,R0805,-47.18mm,26.303mm,-47.18mm,26.303mm,-46.18mm,26.303mm,2,T,180,Yes,51.1kΩ,51.1kΩ
C47,CL21B104KBCNNNC,C0805,16.9mm,-7.6mm,16.9mm,-7.6mm,15.9mm,-7.6mm,2,B,0,Yes,100nF,100nF
C48,CL21B104KBCNNNC,C0805,13.25mm,-8.5mm,13.25mm,-8.5mm,13.25mm,-7.5mm,2,B,270,Yes,100nF,100nF
C49,CL21A475KAQNNNE,C0805,17.69mm,-10.66mm,17.69mm,-10.66mm,16.69mm,-10.66mm,2,B,0,Yes,4.7uF,4.7uF
C50,CL21B102KBANNNC,C0805,-6.75mm,40mm,-6.75mm,40mm,-7.75mm,40mm,2,B,0,Yes,1nF,1nF
C51,CL21B104KBCNNNC,C0805,44mm,-28mm,44mm,-28mm,43mm,-28mm,2,B,0,Yes,100nF,100nF
C52,CL21B104KBCNNNC,C0805,14.25mm,-43.75mm,14.25mm,-43.75mm,15.25mm,-43.75mm,2,T,180,Yes,100nF,100nF
C53,CL21B104KBCNNNC,C0805,32.75mm,-41mm,32.75mm,-41mm,32.75mm,-40mm,2,B,270,Yes,100nF,100nF
